text,isAbuse
저런 프로에 뭐하러 출연하는 거냐 출연료 몇 억 주는 것도 아닐 테고 저렇게 자기 인생을 다 까발리는 게 무슨 득이 있어,0
전여친 158이었는데 여자든 남자든 키 큰 게 좋음,0
그리고 뼈 하나 더 때리면 여론조사별 거 아니라고 우기는 틀 많은데 이석기 경기연합 어쩌고 그것도 여론조사 조작 결국 정당해산까지 간 거 임 선거는 민주주의 꽃이라서 엄격함 닭이 여왕 마인드 조선시대 머리라막한 거지,1
니네집은 얼만데,0
동의 완료,0
거 너무 한 거 아니오,0
폼 다 떨어졌다 생각했는데 어느 순간 딱 버텨주는 거 보고 클래스는 다르구나라는 걸 느낌 시즌 중반 미드 진 붕괴 때 프레드 각성마티치 부활 아니였음챔스 경쟁 꿈도 못 꿨을 듯,0
ㅋㅋ,0
도산대로에서 람보르기니 요란하게 끄는 부류인 갑네,0
추천이요,0
이집트 피라미드 만들면서 태권도 품세를 한 기록이 있다,0
아니 수천억 가져야버는 돈을 박가린 존 못 가 비슷하게 범ㅋㅋ 20 프로슈 수료 떼기 전 18억 ㅆㅂ이해가 가냐 나이도 존 나 많은 년인데 누가 쏘는 거야,1
맞ㅋㅋ,0
기술 쪽은 공부 안 하는 줄 아나보네ㅉㅉ 마 기술 배우는 거랑 단순 공장 조립 노가다랑 같다고 보는 건 아니지,1
정말 쓰레기 같은 동생이다,1
너닉네임에서 불향기가 느껴진다ㅇㅇ 특수 용접이니 그거 고수익이라면서 나도 ㅅㅂ 그런 거 하는 사람 있으면 몇 년 따까 리 보조로 월 150만원 받아도 되니깐 좀 배우고 싶다기사 찾아보니깐 중년의 나이에 도전한 어떤 아줌마들 한 달에 천따리 이상 버는 것 같은데 대체 그런 건 어디서 배울 수 있노,1
갠지스 강치고 깨끗한 데,0
대구 ㅁㅈㅎ,0
ㅉㅉ,1
쥬지승,0
왜 말을 못해 ㅋㅋ,0
와시 발난 작년에 30됫는데 좆소에서 나랑 1살 위새끼한테 20대 초반 후임 갈구는 거마냥 진짜날 모자른 새끼처럼 갈궈서 빡치고 퇴사하고 1년 가까이 히키 생활 중인데 시발니 글보니까 진짜 생각할수록 좆 같다빡 대가리에 남눈 치 존 나 보고 피해의식 쩔고 나이는 똥꾸 멍으로 보고 사람들은 첫인상부터 날만만히 보고 쉬펄 친구도 찐따밖에 없도 모 쏠아 다 일 게이라서 씹쫒같노 평생 이렇게 비참하게 살다 뒤 지겟 다이기,1
킬러조,0
디지기 전 이름은 카라스 마렌야,0
박나래보다 나은 거ㅇㅈ,0
흔들어라 흔들어 라이기,0
코다리찜부터 퇴출해 라시발 비린내에 씹으면 고무줄 씹는 느낌좆 같다 짜장 밥 나오면 썩은 만두에 고무줄 잡채도 좆 같고 사골곰탕 나오면 깡통한 개에 고기 23점 나오는 마법의 국물도 좆 같고,1
댓글로 페미한테 동조하는 새끼들 보이노역겹네보 겸을 왜까겠냐,1
아내 감동 물어내,0
난윈7에서 끊긴다기보단 로딩이 좀 길었는데,0
그때 주택현관위가 장독대 놓는데임,0
나루토,0
얼굴 안보여서 ㅁㅈㅎ,0
ㅇ게,0
이거 아직도 당하는 븅신들이 있다는 게 더 신기,1
20대 중반이면 아직 시간만 노기왕 가는 김에 첫 직장 좋은 곳으로 가라이기,0
양준일은 나이도 차고 경력도 없으니 그럴 만 하지,0
가오잡을 때 특징이라기보다는 키작으면 괜히 가오를 잡는 무리수를 함,0
저런 거온 게임넷에서 스타 명승 부틀어주듯,0
귀천 있지 ㅎㅎ태되고 게으르고 맨날처 놀면 허드렛일하는 거고 머리 좋고 공부 잘하면 나랏일하는 거고 적당히 자격증 따면 중간 가는 거고,0
전라도상이네,0
ㅈㄹ 노ㅋㅋ 바로 눈앞에 모니터도 32인치인데 존 나 작아 보임,1
좋은 사진에 좋은 조언까지 완벽하다,0
여자는 진짜 인 생 외모 순이라고 봐도 과언 아니지,0
옛날에 힛갤 간 정태준이라고 있었는데 걔는 정장 입고 자전거 타고 24시간 만에 서울에서 부산 가던 데,0
시체 닦으며 시체랑 대화나누고 싶다,0
솔직히 용접공인식 안 좋아진 거쟤영향이 큰 듯,0
성북구 장위동,0
그립습니다 당신의 진심을 알지 못하고 떠나 보낸 후에야 당신의 소중함을 알게 됬습니다,0
국가기관 시스템을 맘대로 쓰고 안 쓰고 했습니다,0
니에미자궁 방사능 오염됐다는 말이 있던데,1
인민감시시스템 구축을 위해서 안면인식 기술 데이터로 쓰려고 중국 공산당이 큰 그림그린거임,0
ㅋㅋ기서도 빨갱이 김정은이라고 안 한다고 병신아 ㅋㅋ 알고 쪽팔려서 이러는 건지 이런 말도 이해를 못하는 건 지 구분안 갈 정도네,1
ㅈㅈㅂ,0
저 때 간 사람이 10명이 다치면 지금 다 성공했어 내가 어떻게 성공했나 한국 공기안 마시고 좌빨 개 새끼들 안 봐서 스트레스 안 받고 개중 공조선족이 나몰 상식한 인간들 테러 안 당해서 좋고 이게 내지론이다,1
멸종을 안 하는 이유,0
26만 중 최소 13은 일베 출신이라 확신함,0
ㅠㅠ나 왜 그렇게 칭찬해,0
ㅅㅂㅋㅋ,1
아니 김씨도 그냥 컨셉이지 실제 산업역군이라고 생각하는 병신이 어딨냐 일하러 갈 때마다 인간 쓰레기 취급받고 구석 자리아무대 나오줌 싸고 함바집에서 거지 같은 밥이나 먹고 나서 햇볕 잘 드는 곳에 앉아 있으면 머리가 멍해지는 게 매일매일 일상인데,1
용자네,0
뭘 끼워맞쳐 ㅉ티모테오 내가 처죽 여냐지가 처맞아 죽었고 그게 기록상 팩트 쟌아그런데 뭘 끼어 맞쳐다는 건지 시 비걸지 마라 10111229494885898420,1
오십 넘으면 내근으로 많이 돌린다,0
중대입 결표 뒤져봐 이러고,0
친일 앞잡이매국당 놈들이지머,1
휴거는 2021년 3월경으로 예상하고 있는데,0
헬스 목적이 순수 운동이 90 이상이라면 시설 좋은 헬스장은 절대가 ㅁ됨 여자들 땜에,0
내 친구가에 몇 번 깔짝 대다가 사라진 무명연예인이 엇는데 바에서 알바하다가 결국 연예인 포기하고 호빠됨,0
근데 신기한 게 쟤는 그냥 성괴에 이쁜 거도 아니고 짱깨놈 대리고 사는 게 산박하다고 생각해서 그런 건가 왜 티비에서 밀러주는 이유가 뭐 임짤만 봐서 그런 건 가 이해가 안 가노,1
아들 한 건 더 하면 아버지 완전 뜨게 할 수 있어,0
나랑 용접 배울래,0
제대로 하려면 미치고 즐겨야 한다,0
인간 날 키워라,0
그리고 걔네들 소득 들어오면 연금 깎여서 일하지도 않는다,0
으따성님의 오줌이랑 똥도 전 부일제 꺼랑께 요성님 눈코 입도 전 부일제 꺼랑께요,1
자기들 밥줄인데,0
축하드립니다 뉴트리아슬레이어 칭호을를 획득하셨습니다 이제 다른 유저에게 칭호가 노출되게 됩니다,0
응 알겠으니까 꺼져,1
좌빨 새끼들은 내로 남불우기는 게 답인 줄 아니까 인간 이하 새끼들,1
저런 건 떠벌여야지,1
걱정 마라내고 추튼튼해,1
이탈리아 상원의원이 말했죠,0
ㄹㅇ 명령을 그렇게 칼같이 내야 공권력이 살고 아가리 닥치고 있지 노무현 때 촛불 들었으면 애새끼들 다 화형당했을 듯,1
철학종교,0
봉봉주세 효ㅋㅋ,0
네이젠의 미확장 시도하고 있죠 아주 그냥 뭐 하나 걸리면 쥐잡듯이 들잡는 구만 ㅋㅋ,0
그래돈 문제일 뿐이라고 치자 그렇다면 공공복지를 위해 의료인들의 연봉은 현저히 낮춰져야 한다는 게 그러한 배경에서도출될 수 있는 유일한 논리적 답변일 거다,0
저 발언은 2013년도에 나온 발언이다,0
큰 의료비나갈 때가 좀 있나,0
그럼 수능도 주작이고 공무원도 주작이면 대체 뭘 하ㅋㅋ,0
1핵융합,0
암울한 뉴스노,0
가르치는 거랑 아는 건 별개 영역이다,0
앞차블 박 보고 이미 사고난 거였으면 니말이 맞는데 지금 증거로는 내 말이 맞다,0
전두환 대통령 때 가장 나라가 정의롭게 돌아갔다 악을 제압했고 선을 보호했다 그래서 국민들 다수가 행복할 수 있었다,0
게이 몇 살이노,1
못할 줄 알고 아주 선심 쓰듯 말했는데 체결되버렸네 어떤 표정일지면상 좀 보고 잡네,0
네이버 틀 딱 놀이터 다음 좀비놀이터,1
진짜 일본은 저렇게 이쁜데 중국은 씹창난이유가 뭐냐 같은 동양인데 유럽은 각 나라들이 다 개성 있고 멋있잔아 한국도 외국인이 바라보기에 저렇게 아름다운 나라일까,1
공산주의도 아니지 그냥 망상이지 이상 선동할 때 다 같이 잘 먹고 잘 살자 현실 다 같이 평등하게 대가 리깨지 자 기득권 소수제외 예중국 북한,1
닭날개구이 개 맛있음 ㅋㅋ,0
자한 당 전체보다 훨낫다니까 ㅋㅋㅋ 중권이형 화이팅,0
수시 합격하고 심심해서 수능 보러 왔다가 2교시까지 찍고 도시락 먹고 집에 가는 애들이 맞는 게 7등급 아니ㅋㅋ,0
굵어 죽거나 오염되 죽거나,0
이사 한 번 하면 몇 년치가 쌓여버림,0
그람시롱 투표할 때는 아따우덜 편을 우덜이 안 찍으면 누굴 찍는 당가하면 민주당 찍,0
인생곱창 나는 최단 기 루트탔네,0
주로 은행 쪽 전문인데 은행이 줄어들고 있어서 일감 많이 떨어짐,0
얼라이언스를 위하여,0
헤어누드도 없냐,0
그냥 상대하지마,0
니말대로 무작정 은행 대출이 있다고,0
네 다음 동부산틀딱,1
아몰랑,0
병신지 잡대년 군대로 꺼져,1
어디 회장이 걍 재미삼아 하겠ㅅㅂ,1
해피바스바디로션보다 좋냐,0
전라도 사랑은 언제까지,0
병신 새끼,1
틀 딱들이거 보고서냐,1
니 같은 거 자살하면 ㄹㅇ 아무도 동정안 해줌 ㅋㅋㅋ,1
유명한 곱창 집 알바해봤는데 진짜 손질존 나 힘들다 곱창은 인건비가 70라 생각하면 됨제대로 하는 집은 손질이랑 숙성만이 삼일걸린다 보면 됨,0
지랄 저 거수업 듣는 학생들 학부모 중에도 용접하는 사람들 있을 텐데 대가리나빠서 용접한다는 소리 들으면 참기분 좋겠다,1
윤석렬 장모비리 덮으려고 미리 준비해서 터트렸나,0
너도 삽자루 세대노,0
부럽 다새꺄,1
280원 ㅇㅂ,0
리뷰 이천 개 이상 달릴 동안 48유지해봤는데 저런 새끼들은 히스토리 들어가 보면 어떤 가게든지 다 불만 투성이 임다 버린 데 개병신 같은 새끼 ㅋㅋㅋ신보존의 법칙이라 생각한 다물론 대응은 잘해야지,1
투신 자살하는 사람들이 정말 어찌 보면 대단함 번지점프 한 번 해본 적 있는데 나름 한국에서 꽤 높은 수준이었음 근데 안 죽을 거 알고 밑에 물도 있고 한 거 아는데도 정말 뛰기가 힘들더라 참고로 나는 어느 놀이공원을 가든 단 한 번도 무서워서 못 탄 적 없고 늘다 더 무서웠으면 싶어 하는 강심장 임근데 그런 나도 번지점프는 진짜 개쫄 리더라놀이기구랑 다르게 내 스스로 액션을 시도해야 하는 점도 그렇고 단 한 번도 살면서 경험해보지 못한 거라서 그런 듯 어디 높은 데서 낮은 데로 뛸 때 바닥을 보고 늘 뛰어왔는데 바닥이 보이지 않는 공중 허공으로 뛴다는 게 진짜 내 뇌가 한 번도 경험 못해본 거라진짜 엄두가 안 나더라 걍 발이 안 떨어지는 느낌한 5분 망설이 다 뛰긴 했는데 다시 하라 그래도 진짜 개쫄릴 거 같음 안 죽을 거 알고 뛰는 것도 이래 힘든데 자기 몸이 산산조각 날 거 알면서 뛰는 사람들은와,0
제발 다 구속되길,0
넌 어떻게 그런 머리로 5랩을 달성한 거야,1
그 이상 받는 건 불공평한 거다,0
야소충 때문에 이미지가 이렇지 사실 성능만 보면 사기 챔임,0
이봉창을 진실 그대로만 알려도,0
30넘고 클럽 가지 않냐 혼자 시끄럽고 어두운데서 독한 술 마시고 헤롱대는 거 좋아해서 시간 나면 간다걍 혼자 술 만 드립다마심 그러다 토하고 다시 마시고,0
좆 같은 걸 좆 같다 말도 못함,1
인민재판 익숙해야지,0
야구하시네요,0
개드립이 지 댓글 1페이지에 오타라고 써놨는데 으휴,1
육고기는 맛있워,0
75면 45평대 거실에나 놔야지 밑도 끝도 없이 큰 거사면별로 다근데 티비가 진짜 마니싸지긴 햇음,0
저 정도 응디는 운동 안 해도 가능하다 시 발 보정 레깅스쳐 입엇는데 저 정도는 다 나와,1
그런 한 남들이랑은 근본부터가 다름,1
짱개스파이 새끼들 목을 쳐야 됨,1
머한민국이 북중러 일미한테 조리돌림당하니까 만만하게 보고,0
새 차준다고 하니까 저ㅈㄹ 하지ㅅㅂ기,1
일단은 전라도,0
ㄴㄷㅎ,0
1 경기 중에 선수가 자신의 본포지션이 아닌 다른 포지션으로 이동해서 공간을 창출하는 행위공간 창조공간 창출 공간 침투 침투 창조 이런 식으로 부를 수 있을 거 같고 2한 두 선수가 서로의 위치를 바꿔서 상대 수비를 헷갈리게 하는 행위 위 변교란 3팀 전체가 공격과 수비 일 정 상황마다 포메이션 자체를 바꾸는 행위 공수비통일전술공수비대칭전 ㅈㅅ 개 오바해 봣슴 뭔가 머릿속에 생각은 나는데 표현할 방법이 없네,0
그래서 제가 댓글 잘 안답니다티 날까봐,0
육덕 오타쿠백마,1
지금 몇 살인데,0
긔워 마드임,0
야동도 야동이지만 게임이나 애니 같은 것도 빠질 수 없음진짜 일본 문화한국인들 싹 못하게 막으면 다시 하게 해달라고 지랄난리 부르스 떨듯 즐길 건 다 즐기면서 일본 ㅈㄴ욕함 ㅋㅋ루리 웹 뺨치는 이중성임,1
불어할 줄 모르면 살기빡셈불어 못하고 추위에 약하면 지옥일 듯 ㅋㅋㅋ,0
20군번 중에 쟤들이 최고참이다 이기,0
왜 꼭 필요한 일이야 ㅋㅋ,0
부럽네요,0
직업군인이셨다 해군 하사관,0
시노다아 유미 ㄹㅇ몸매 때문에 좋아했는데 은퇴 후에 아무런 흔적이 없어서 아쉬움,0
내 친구도 용접 공인데 보호장비 드립치면서 괜찮다 하던데 무용지물임,0
그 새끼들이 부패하면 누가 견제해,1
요즘 170대 많더랑 ㅇㅅㅇ,0
이것들이 어디ㅋㅋ,0
게이는 무슨 일하노,1
그냥 서양에서 전해오는 빨간 머리 전설 같은 것을 말하는 것이냐,0
공산주의는 망해서 없어진 것임,0
누나 내쥬예즤주겅,1
그래야 본인이 평범해지니까,0
ㅈㄹㄴㄴ,1
아진짜 개새들 뒤 통수졸라쌔게까고 싶다ㅅㅂ,1
부들부들 떨리냐 ㅋㅋ,1
일 특원 ㅇㅂㄹ,0
인터넷 강의 특별법 제정됐을 듯,0
하여간 더럽게 역겨움,1
호로씹종자 새끼들이네,1
시발존 나 잘함,1
모임 집회하지 말라면 좀 하지마,0
사드 ㄷㄷ,0
모 쏠아다 29년차인데 아직 희망 있으니 더 밀어붙여라 진심이다,0
얘들은 그냥 좀 사는 북한임,0
ㅈㅈㅂㅁㅈㅎ25렙게이가 이걸,0
전자발찌도 차야 함,0
타이항공에서 비행기 연착되어서 제공했줬던 숙소보다 훨씬 좋네요,0
느꼈 나봅니다,0
현금으로 2000억을 가지고 있는 개인이 있댜고,0
은교입니다,0
다음날 아침에 뉴스 보고 놀란 기억이,0
어딘데 그리 싸노,0
김주하 이런 사람이 앵커를 맡는다는 게 아이러니 이자 한 장의 사진에 어울린다도대체 왜 이딴 앵커가,0
씹쿵쾅맷돼지들,1
그래도 찍어요,0
그런데니까 너가 들어간 듯,0
음이게 맞다,0
장모랑이건희 도윤석 열 손절하겠는데,0
민원인 없으니깐 지들끼리 자리 지키고 농담 따먹기하고 있는데 하루하루가 치열한 대기업하고 비할 소냐,0
최고 180까지 밟아봤음이 때 딱 한번 처음이자 마지막이였음아반데로는 23초 정도,0
ㅋㅋ,0
어쩌다 우리아재됫을까,0
그럼 나 한번 연주해봐,0
일베와의 전쟁을 선포하겠습니다,0
미친 새끼들 저거 사실상 외압이네 청와대에서 공문 보내면 불법 아니냐 ㄷㄷ,1
ㅉㅉ,1
짱깨문 베충이나 잡어,1
서지영 나랑사귐,0
몇 달 이상 들고 있었어야 한다 이런 조건 있냐,0
아이린은 빼씨 벌년아 뒤질려고 일베 제외한 모든 곳에서 여돌 원탑인정하는 게 아이린이다,1
어이가 옶 노씨 ㅋㅋ,1
일본처럼 7인의 사무라이나 오고 할복하고 죽으라는 것도 아니고 티케이불 출마한 명도 없는데 지지율 올라가길 바라로 총선이기길 바라고,0
일베놈들이 참에 박멸가즈아,1
앞으로 머해 먹고 살아야 할지,0
상식적으로 유튜브가 지고 있고 구글 맵스며 뭐며 정보화 시대에서 유리한 고지는 다가진 구글이 망할 일은 없지 않냐 해킹당해서 개인정보 유출 이런 거 되지 않는 이상,0
머야먼 소리냐,0
해외 나가믄죄 다 토요타 고흉기는 찾아보기도 힘든데 방구석주 모 믿으면 발등 찍힌 데이,0
상대적인 거지뭐,0
영어도 제대로 못하는 칭챙총을 굳이 쓸려 나 아무리 호주라지만,0
어차피 안 될 거 알면서 공약하는 거 보면 정의당 가면 될 듯,0
지금도 필리핀보다 못 산다거지 국가임,0
그렇게 해도 되지,0
ㄷㄷㄷ 이래도 간첩이 없다고,0
대리운전 당시는 최소성인 2명이 타고 있어 차체가 내려가 있었지만 아슬아슬하게 스토퍼에 걸리지 않을 정도였을 수도 있는데 반대로,0
돼지는 눈물 안 흘리냐,0
천주교는 하느님의 개념이 좀 더 넓은 편이라 외계인이 있거나,0
엄선ㅇㅂ,0
무식하면 용감하다는 말을 몸소 실천해주는 섬숭이ㅋㅋ,1
폭동은 진압해야지병신 새끼야,1
에미씹ㅋㅋ 마인크래프트로 생각하네 인생을,1
전시에 헬기가 얼마나 위력적이길래 도움이 되노,0
먹고 먹히는 세계가 선의 세계일리가 없잖아,0
드립백 좋지요,0
웹툰 작가인 가뭔 개 좆도 아닌 소리를,1
저 30 프로에,0
글자를 귀로 듣는 저능 아 수준 ㅋㅋㅎㄹ,1
공수처 통과될 거도 알고 있었냐 다 통과되고 있는 마당에 대체 어딜 봐서 파멸이 보이노,0
부착 연결하는 손잡이 추가 구성하면 셀프 컷졸라 쉬워질 거다,1
네이버 답없음 야후롤 백해야 될 판,0
경영 생각하면 고기 값싼 고기라도 따로 더 구워서,0
어떤 말로 위로를 드려야 할지 ㅠㅠ,0
중고가 미쳤ㄷ니ㅣ,0
ㅇㅋㄱㅅㄱㅅ평생 담배만 열라게 피다가 액상형 전담하면서 담배는 아예 안 피게 됐는데 문재앙 때문에 좆같네,1
근데 이런 상황인 거이국종도 알고 있던데 본인 책보니까,0
ㅇㅇ이제 끝임,0
진짜 김씨 저장소답게 엄청 발끈하는구나 근데 7등급이면 호주에서 영어 스피킹은 가능하냐,0
간호사 코스프레한다고 간호사비하한다고 기사 나오는 판에 용접공노가 다 힘들하는 사람들이 웃음거리로 만들어서는 안 된 다 이거 그냥 넘어가면 용접공이 하 현장직들은 동물원 원숭이로 전락하는 거,0
돈사랑이요,0
맨 첫 짤스무살 때 진짜 좋아했던 짤인데 햐,0
저런 ㅅㄲ아싸든 히키든 인생에 전혀 지장 없겠노 물론 주변에서 물고 빨고 ㅈㄹ겠지만,1
그리고 몇 년 후 민좆당 노동자 대표 청년 비례대표로 등장테크 트리ㅋ,1
게 이야 왜 근거 못 대누,1
아소름 돋네ㅋㅋ,0
여군이 간부만 있어서 그럴 수도 있을 것 같습니다,0
집 그리 좋아 보이진 않는데 장인이 일도 못하게 한다고 얼마 정도는 데 장인이,0
강사면 강사답게 우선 5등급 목표로 하고 올려라 천천히 목표를 높여라 해야 강사 다 강사가 왜 강사겠냐,0
우리나라에는 고유정 같은 년들 때 메안 됨,1
뭔 시 발병신같이 월권이야 일 게 시장이,1
내용과 상관없이 저짤은 아이돌처럼 나왔네,0
개세이들,1
응 그거 말고 전기차 요금제가 따로 있음경 부하 시간대에 절반 이하 가격임,0
ㄸㄷㄸㄷ,0
코로나 19 같은 인간 ㅋㅋ,1
짝짝짝 시방새는 별로,1
성령이 미만 잡,0
어디가둬놓고 불태워 죽여버렀음,1
가서 뒤지는 새끼들은 성매매 마약돈 관련된 애들이 뒤지는 거 다 도둑강도들 많은 터미널역 부근 빼고는 쟤 네도 일반 관광객들은 안건드려 그리고 뒤지거나 처맞는 애들 대부분이 필리핀 애들 존 나무시해서 그런 경우가 많음 쟤 네가 비록 못 살고 한국인보다 열등하고 똥송해도 자존심 센 애들 많다 못 배운 한국 새끼들이 가서 지가 뭐 좀 되는 줄 알고 필리핀 애들 무시하고 종부리 듯이 대하니까 역으로 쟤 네도 이제 한국애들 무시하고 만만하게 보는 거임,1
한국은 좆 같은 황사가 날아오지만 역살적으로 땅의 회복력이 올라감,1
수통 뚜껑에다 박아 오른발 들고,0
멋을 아는 게 이노ㅋㅋㅋ,1
별 생각 안 하고 썅년하고 넘길 것 같은데 ㅋ,1
ㅍㅌㅊ 기준이 평균급으로는 솔직히 조올라게 노력하고 거기다 운 좋아야 될 건데 한두 번 하급여자 만나는 거면 몰라도 폭격이 병헌 탑 주진모장동건도 노력하고 누구 일반인는 10억을 바쳐도 별풍선까이는 게 한국 남녀관계 인디,1
입이 좀 별론데,0
정답은 강간,0
역시 고상 한 척 하면서 트위터에야 짤 올리는 건 뭔가,1
사돈에 팔촌이어도어차피 뒤돌면 남이다,0
에어닷그이어폰 되게 작은 거 있는데 그 거랑,0
보수 논객 10명 합친 거보다 효과 ㅅㅌㅊ,0
시ㅋㅋㅋ 일이 점점 더 커지노ㅋㅋ 대책 없이 일이 크게 번져가네,1
그냥 한 석원 쌤 같은 리버스 투블럭 틀 딱들만보다가 얼굴 좀 예쁜 여자 쌤이 가르치니 한남들 발정 나서 보는 거임,1
오늘은 좀 낫다,0
용접이랑 영어 배워서 호주가면 진짜 사람답게는 산다돈 오지게 번다한국보다는,1
글을 쓴다는 사람이란 어때야 하는지를 보여주네요,0
근데 명의 집착하는 계집이랑은 대체 왜 사는 걸까 이해가 잘 안 되네,0
빵에서 이쁨 받겠네,0
ㅋㅋ 재밌겠다ㅋㅋ,0
그랜저랑 비교해보고와라,0
그게 누군데,0
이태까지 반일한 죗값 치르는 거지뭐,0
첫 번째 이유가 ㄹㅇ 맞지특히나 뉴스나 기사 몇 줄 읽은 학생들끼리 대화해 도 서로 존 나 싸움 ㅋㅋ 근데 둘 다 아닌가 이런 식으로밖에 대화 못함 기사 뉴스 제대로 읽어본 것도 별로 없고 그냥 비전문가니 뭐 이게 팩트인지 아닌지도 판단이 안 되는 상황ㅋ,1
천원이 천 원이 우습냐찐따 새끼 ㅋㅋ,1
ㅋㅋㅋ 난 저경기 뉴욕 가서 먹었는디 원정 마이애미는 애미가 갈려 하면 싸대기 떄려도 무죄라더라,1
저게 뭔데 1700만원씩이나 투자하냐,0
여의도 살기 좋음,0
ㅋㅋ정,0
선관위 일해라,0
쁘아까 오포프라묵 2006년도 정도가 인간이 할 수 있는 정점이다,0
좋은데요 뭐 뚜껑 열린 미친 차주분 꼭 신고 성공하세요 잠복도 하시고요,0
이렇게 다 타 먹었는데 결혼 지원금 30만원짜리 있었는데,0
뭐 해먹고 사노,0
비연예인은 어디서 만났을까,0
체온이 사람이랑 똑같다잖아,0
저거 조작이 잖냐드루킹 좆 선족 짱깨들이 조작하는 거임 추천수,1
급이 비슷해야 뭐라고 하지 그냥 측은하다 일본 중국은,0
시봘존 나웃기네 섹스리스였는데 야동에 출현해서 섹스하는 거 보고 꼴려 서 둘째 임신 ㅋㅋ,1
이얗호응,0
또 여자 같은 경우 외모 뛰어나면 본인은 능력 없어도 능력 남만 나서 50이후 인생도 잘 건질 확률 높으니,0
근데 현실이 이상적이라면 이미 공산주의가 성공했겠지,0
개씨 발나라 개좆같네다 디져라,1
구라치지 마라수학 모르는데 어케 전기기사까지 가복 소수 삼각함수 미적분다 공부하더만,0
주위에 하도 주식해서 털린 사람이 많아 시작도 안함,0
정작 나는 물사러 가 기 귀찮아서 브리타 정수기 내려 먹음,0
아나베상아리가 또 ㅌㅋㅋ,0
짱구 아버지 사립 명문대와 세다출신,0
푸헬헬,0
시동 막끈 차본 네트안에 엔진 옆에서 잔다 모르냐,0
그럼 세울려고 홍준표 상상하는 거야 노땅 취향의 게이였단 말이노,1
현실에서 사람 취급 못 받고 낮아진 자존감 쌓인 열등감,0
발랐으면 인성질은 기본이지 과거비 등했던 적이 무너져서 앙탈 못 부리고 마음대로 할 수 있게 되었는데 ㅎㅎ,1
ㅋㅋ 1500만원이 지랄,1
그건 스펙 때문이지 당연한 이야길 하노게 이야,0
앙헬가고 싶다 빨통을 그냥 핥짝 핥짝,1
레이저 업체에 도 면보내면 그걸 가져와 서 용접을 직접 하기도 하고 41에 용접해서 만들어오는 게 얼마나 많은데,0
그 생각이 맞음 11로 보이기도 하고 바지 신발 착장보기에 최적화됨 차렷 자세를 옆으로 돌리면 신발은 잘 보이지만 옷은 안 보이는 이치랑 같음,0
깜빡이 킨 차가 어딨어 븅 신아 뚜벅이 새끼 입 좀 닥쳤으면 한다,1
조선에서 살면 되는데 왜,0
버닝썬 사건이 엊그제 같은데 나라꼴이 망했구나,1
난 그렇게 봐 분탕들한테 놀아나 서부화뇌동하는 빡대가리도 분탕이라고,1
그럼 일반 영상사진 파일 명만 2이 딴거로 바꿔놓으면 걍정지당함,0
ㅋㅋ 인 생수 ㅋㅋ,1
굉장히 창의적이다,0
정신은 멀쩡한데 눈만 안 떠지면 어떻할 거임,0
과산화수소가 좋텐 다샤워 좀 해,0
병신 아저거 유튜브로 재전송하면서 덧씌운 자막이잖아 자막 뒤에 방송사 워터마크 안보임,1
아라쪙,0
멍멍 헥헥,0
팩ㅂ,0
아착각을 ㅋ,0
그건 기술자가 아니라 기사다 개병신아제발 좀 ㅋㅋ,1
식인은 모든 나라가 다 한다 특히 홍어마을은 지금도 한다 아따싸게 싸게 모이드라고 태잡았댜 태어린 아기 으따 오렌맨시 롱몸 신혀 쓰것구먼 근디오목이 여불 뚝이 여암컷 숫컷 오목이랑께 아따만나겟고마잉근 데 하나여잉에 잉 어느 코빽지에 붙이 남아 따 걱정 허덜 말 드라고 15년 묵은 여우도 잡앗씅께 워미어 디서 구했냐 아니아직도 모르는 가베뭐슬니 여우 잡앗당께 ㅠㅠ 아갑고 마잉나가 아직 시식도 못 혓는디,0
김앤장 로펌 우병우 1인 ㅅㄱ,0
저건 아무것도 아님 한 가족 4명인 가공원 산책 나왔는데 하나같이 시커먼 소세 지 패딩쳐 입고 잇드라 소세 지 패딩도 그렇고 다 똑같이 시커먼색 ㅡㅡ,1
일간 한국당,0
왜 제시를 못해 ㅋㅋ,0
일베도 비슷하잖아 ㅋㅋ,0
예전에 라뷰티코아에서 한가인 보고 쓰러지는 ㄷㄷㄷ 럿밧지만 한가인이 실물 갑,0
저렇게 아무렇지도 않게 살 수 있을까,0
결혼 안 하면 돈 아껴서 퇴직 후 남은 생놀고 먹기 가능 결혼하지 마라,0
이언주는 옷을 강남에서 따로 맞췄나 색깔이 다르네,0
차라리 그냥 무소속을 찍어라,0
ㄹㅇㅋㅋ,0
그 새끼호모게이임,1
그런 짓 않함,0
아니 김밥을 왜 묻냐니까 개좆 같은 븅신새꺄,1
역삼교대 쪽 다단계 팔이들도 마찬가지다 대부분 국세청 소득통계 보면 쟤네들 월 100만원도 못 버는 병신들이 90 이상이라고 보면 됨어설픈 세미 정장 입고 우르르 국밥집 편의점 도시락 전 전하는 카페 충들대부분 다단계 병신들이 다 배운 건 없고 티비연예인처럼 화려한 삶은 살고 싶고 무작정 서울 올리와 서 빠져드는 게 저딴 병신 짓거리 ㅋㅋ 글보는 다단계 충보험충은 무능력하면 공부를 하거나 몸쓰는 일해라 개병신주제에 강남 물흐리지 말고 ㅎㅎ,1
사진에 가게 상호 넣었잖아,0
도라에몽에 귀달고 눈 바꾸고 끝냈네,0
개소리 하네 위장보수임,1
